Y,X,Hash0,Hash1,Hash2,Hash3,Hash4,
216,75436,0.486459,217.714,90.2136,0.42327,43.2618,
217,12542,0.303393,51.9631,15.3653,0.270459,12.8723,
218,17217,0.41658,73.6756,21.9047,0.396891,23.5016,
219,10808,0.534816,44.6335,13.7882,0.468085,17.1721,
220,80043,0.451411,234.931,98.4901,0.467085,52.0188,
221,62149,0.342213,193.907,74.002,0.365779,45.624,
222,51503,0.29722,151.216,63.4631,0.303931,28.1956,
223,81241,0.452696,248.127,105.383,0.471007,54.1709,
224,47865,0.570652,194.735,60.4141,0.566304,39.2207,
225,50845,0.330199,157.496,62.511,0.291536,28.4692,
226,1272,0.468168,9.37904,1.55142,0.457395,6.46915,
227,71341,0.426817,207.31,90.6377,0.426817,44.7175,
228,80566,0.449612,246.709,103.364,0.450581,53.3779,
229,74101,0.448498,215.456,92.0322,0.409871,48.9152,
230,36053,0.424575,156.649,44.1608,0.433566,31.961,
231,53203,0.327254,158.716,68.2097,0.283688,28.9291,
232,55945,0.307079,168.004,69.5743,0.279163,28.6261,
233,77423,0.407484,217.515,95.0468,0.427235,39.0759,
234,84051,0.514515,244.435,105.57,0.462462,48.2192,
235,21653,0.464039,90.3714,26.398,0.516256,25.6936,
236,1366,0.492386,10.4822,1.64162,0.53198,6.7198,
237,30375,0.37,129.61,36.911,0.357,28.328,
238,65188,0.375375,196.262,79.023,0.371371,42.7117,
239,86020,0.486708,258.943,105.139,0.517382,54.8384,
240,34956,0.387414,147.191,43.5792,0.403147,33.6106,
